Ethnicity_labelled,n,Frequency,N,Sum,Percentage
English / Welsh / Scottish / Northern Irish / British,7747,7732.236252472267,10155,10155.00000000001,76.1421590593034
Irish,128,113.60772222894192,10155,10155.00000000001,1.1187368018605792
Gypsy or Irish Traveller,8,10.792074809636024,10155,10155.00000000001,0.10627350871133445
Roma,7,7.489614645658614,10155,10155.00000000001,0.07375297533883414
Any other White background,449,479.3792403144563,10155,10155.00000000001,4.7206227505116285
White and Black Caribbean,95,58.752031348406454,10155,10155.00000000001,0.5785527459222689
White and Black African,66,35.044066904583445,10155,10155.00000000001,0.34509174696783274
White and Asian,73,41.52161641188118,10155,10155.00000000001,0.4088785466458016
Any other Mixed / Multiple ethnic background,82,49.486882111509274,10155,10155.00000000001,0.4873154319203272
Indian,225,311.7319344694425,10155,10155.00000000001,3.069738399502139
Pakistani,142,149.94166696969887,10155,10155.00000000001,1.4765304477567576
Bangladeshi,68,76.49713273575037,10155,10155.00000000001,0.7532952509675067
Chinese,82,145.5344343512828,10155,10155.00000000001,1.43313081586689
Any other Asian background,83,163.15062964569637,10155,10155.00000000001,1.606603935457373
African,343,227.05199532662368,10155,10155.00000000001,2.235864060331103
Caribbean,89,71.66614437484922,10155,10155.00000000001,0.7057227412589775
"Any other Black, Black British, or Caribbean background",52,37.38500282401769,10155,10155.00000000001,0.36814379935024777
Arab,19,32.50049480333174,10155,10155.00000000001,0.32004426197273966
Any other ethnic group,16,30.458082477529075,10155,10155.00000000001,0.2999318806255938
Don’t think of myself as any of these,12,8.810644164570865,10155,10155.00000000001,0.08676163628331716
Prefer not to say,26,30.453495052105538,10155,10155.00000000001,0.299886706569232
NA,343,341.50884155776964,10155,10155.00000000001,3.3629624968761136
